.metric,.estimator,.estimate,.config,experiment
rmse,standard,1.056336116294906,Preprocessor1_Model1,50
rsq,standard,0.6267105886754567,Preprocessor1_Model1,50
rmse,standard,0.9866009344938158,Preprocessor1_Model1,51
rsq,standard,0.6604989132486522,Preprocessor1_Model1,51
rmse,standard,1.078056226880706,Preprocessor1_Model1,52
rsq,standard,0.6307070129926912,Preprocessor1_Model1,52
rmse,standard,1.0018587175597586,Preprocessor1_Model1,53
rsq,standard,0.66355689267914,Preprocessor1_Model1,53
rmse,standard,1.0126123361792998,Preprocessor1_Model1,54
rsq,standard,0.6468155949407085,Preprocessor1_Model1,54
rmse,standard,1.008910463533943,Preprocessor1_Model1,55
rsq,standard,0.6492478405879242,Preprocessor1_Model1,55
rmse,standard,1.0478801004721412,Preprocessor1_Model1,56
rsq,standard,0.6242352146174932,Preprocessor1_Model1,56
rmse,standard,1.0581902105852286,Preprocessor1_Model1,57
rsq,standard,0.6202191232409118,Preprocessor1_Model1,57
rmse,standard,1.0966844111348866,Preprocessor1_Model1,58
rsq,standard,0.611644248153045,Preprocessor1_Model1,58
rmse,standard,1.0102038964091653,Preprocessor1_Model1,59
rsq,standard,0.6486084196705786,Preprocessor1_Model1,59
rmse,standard,1.037938719590119,Preprocessor1_Model1,6
rsq,standard,0.6357959730198114,Preprocessor1_Model1,6
rmse,standard,1.082860141302687,Preprocessor1_Model1,60
rsq,standard,0.6173051115744045,Preprocessor1_Model1,60
rmse,standard,1.031007457471319,Preprocessor1_Model1,61
rsq,standard,0.625691107907486,Preprocessor1_Model1,61
rmse,standard,1.0982374700269284,Preprocessor1_Model1,62
rsq,standard,0.5890523283640937,Preprocessor1_Model1,62
rmse,standard,0.9980805053615477,Preprocessor1_Model1,63
rsq,standard,0.6572378755846526,Preprocessor1_Model1,63
rmse,standard,0.9896245323604708,Preprocessor1_Model1,64
rsq,standard,0.6664748816471422,Preprocessor1_Model1,64
rmse,standard,1.0450936098025372,Preprocessor1_Model1,65
rsq,standard,0.6257238977871441,Preprocessor1_Model1,65
rmse,standard,1.0198670798737295,Preprocessor1_Model1,66
rsq,standard,0.6482719731701717,Preprocessor1_Model1,66
rmse,standard,1.019320429700851,Preprocessor1_Model1,67
rsq,standard,0.6437754656449988,Preprocessor1_Model1,67
rmse,standard,1.0049018978743507,Preprocessor1_Model1,68
rsq,standard,0.6343952762910965,Preprocessor1_Model1,68
rmse,standard,1.0249161266626567,Preprocessor1_Model1,69
rsq,standard,0.6440709061102886,Preprocessor1_Model1,69
rmse,standard,1.0098595199349616,Preprocessor1_Model1,7
rsq,standard,0.6350260384074627,Preprocessor1_Model1,7
rmse,standard,1.023394185504275,Preprocessor1_Model1,70
rsq,standard,0.6361282816743717,Preprocessor1_Model1,70
rmse,standard,1.0487842116131694,Preprocessor1_Model1,71
rsq,standard,0.6121947433956717,Preprocessor1_Model1,71
rmse,standard,0.9903585549386257,Preprocessor1_Model1,72
rsq,standard,0.6628245952865538,Preprocessor1_Model1,72
rmse,standard,1.0048638464596242,Preprocessor1_Model1,73
rsq,standard,0.655217236492385,Preprocessor1_Model1,73
rmse,standard,0.9833743021181792,Preprocessor1_Model1,74
rsq,standard,0.6572348479553743,Preprocessor1_Model1,74
rmse,standard,1.0316703852162112,Preprocessor1_Model1,75
rsq,standard,0.6238951877447325,Preprocessor1_Model1,75
rmse,standard,1.0071959436580615,Preprocessor1_Model1,76
rsq,standard,0.6487146650199231,Preprocessor1_Model1,76
rmse,standard,0.9898337653380983,Preprocessor1_Model1,77
rsq,standard,0.6559890364887994,Preprocessor1_Model1,77
rmse,standard,1.0003372810474078,Preprocessor1_Model1,78
rsq,standard,0.6441183727566241,Preprocessor1_Model1,78
rmse,standard,1.0166321595003063,Preprocessor1_Model1,79
rsq,standard,0.6318060153836584,Preprocessor1_Model1,79
rmse,standard,1.038679998012663,Preprocessor1_Model1,8
rsq,standard,0.6247101714805723,Preprocessor1_Model1,8
rmse,standard,1.0072974697907708,Preprocessor1_Model1,80
rsq,standard,0.6502135099291897,Preprocessor1_Model1,80
rmse,standard,1.0811796895531167,Preprocessor1_Model1,81
rsq,standard,0.6055365117850754,Preprocessor1_Model1,81
rmse,standard,1.029262844702755,Preprocessor1_Model1,82
rsq,standard,0.6556764012800352,Preprocessor1_Model1,82
rmse,standard,1.0537332322236825,Preprocessor1_Model1,83
rsq,standard,0.6033028529755593,Preprocessor1_Model1,83
rmse,standard,1.0183166528062453,Preprocessor1_Model1,84
rsq,standard,0.6210942267421738,Preprocessor1_Model1,84
rmse,standard,1.0669035107286349,Preprocessor1_Model1,85
rsq,standard,0.6294479808440062,Preprocessor1_Model1,85
rmse,standard,0.9865368931322235,Preprocessor1_Model1,86
rsq,standard,0.6546278148621141,Preprocessor1_Model1,86
rmse,standard,1.0234229940620507,Preprocessor1_Model1,87
rsq,standard,0.6341385905674067,Preprocessor1_Model1,87
rmse,standard,0.9968205934324569,Preprocessor1_Model1,88
rsq,standard,0.6480049617342436,Preprocessor1_Model1,88
rmse,standard,1.005400475453525,Preprocessor1_Model1,89
rsq,standard,0.6582558227875271,Preprocessor1_Model1,89
rmse,standard,1.0334386792685863,Preprocessor1_Model1,9
rsq,standard,0.6356958513502681,Preprocessor1_Model1,9
rmse,standard,1.013896993764837,Preprocessor1_Model1,90
rsq,standard,0.6392832104438386,Preprocessor1_Model1,90
rmse,standard,1.0180354995974716,Preprocessor1_Model1,91
rsq,standard,0.6452471762600341,Preprocessor1_Model1,91
rmse,standard,1.0549775332216091,Preprocessor1_Model1,92
rsq,standard,0.6100101161840263,Preprocessor1_Model1,92
rmse,standard,1.008144575002481,Preprocessor1_Model1,93
rsq,standard,0.6399386901193399,Preprocessor1_Model1,93
rmse,standard,1.0137575550764086,Preprocessor1_Model1,94
rsq,standard,0.6215518903418945,Preprocessor1_Model1,94
rmse,standard,1.0676904440647492,Preprocessor1_Model1,95
rsq,standard,0.6181710709973635,Preprocessor1_Model1,95
rmse,standard,1.03055687930957,Preprocessor1_Model1,96
rsq,standard,0.6455811313670784,Preprocessor1_Model1,96
rmse,standard,0.9999049665128057,Preprocessor1_Model1,97
rsq,standard,0.6596872202112927,Preprocessor1_Model1,97
rmse,standard,1.0211599213309497,Preprocessor1_Model1,98
rsq,standard,0.6401455445658588,Preprocessor1_Model1,98
rmse,standard,0.9976202164247677,Preprocessor1_Model1,99
rsq,standard,0.6572088575429029,Preprocessor1_Model1,99
